[2017-01-09 09:28:08-08:00] 614.423313394 USD => 12.859016421 DOGE (USD=1.000000000, DOGE=47.733735614, Exchange_1)
[2018-03-23 23:09:26-07:00] 0.011204011 DOGE => 1.001928838 USD (DOGE=89.515421261, USD=1.000000000, Exchange_3)
[2018-03-29 18:48:08-07:00] 1.084095826 ETH => 3.009956887 USD (ETH=2.790419653, USD=1.000000000, Exchange_1)
[2018-04-01 05:25:33-07:00] 136.737085022 USD => 4.743210393 BTC (USD=1.000000000, BTC=28.683821363, Exchange_3)
[2018-04-04 00:27:43-07:00] 17.767875543 USD => 0.177136257 ETH (USD=1.000000000, ETH=99.804729064, Exchange_2)
[2018-04-09 14:39:17-07:00] 12.001868157 USD => 0.840287547 BTC (USD=1.000000000, BTC=14.268765899, Exchange_1)
[2018-04-17 07:35:37-07:00] 4.754170568 BTC => 383.371968737 USD (BTC=81.044307419, USD=1.000000000, Exchange_3)
[2018-05-08 10:45:42-07:00] 0.007697125 DOGE => 0.743430113 USD (DOGE=97.070785789, USD=1.000000000, Exchange_1)
[2018-05-31 04:20:38-07:00] 1.788702378 ETH => 0.079216967 BTC (ETH=3.000668041, BTC=67.686696020, Exchange_3)
[2018-06-04 21:55:19-07:00] 1.389978129 ETH => 4.390363631 BTC (ETH=65.703627818, BTC=20.697595984, Exchange_1)
[2018-06-26 11:42:29-07:00] 182.481023610 USD => 9.128824375 DOGE (USD=1.000000000, DOGE=19.789647161, Exchange_3)
[2018-07-08 14:43:25-07:00] 2.928619222 DOGE => 0.036625338 ETH (DOGE=1.142871521, ETH=90.471934425, Exchange_2)
[2018-07-13 17:41:09-07:00] 1.268299994 DOGE => 18.069908375 USD (DOGE=14.318940327, USD=1.000000000, Exchange_3)
[2018-08-12 10:43:37-07:00] 11.036620801 BTC => 823.190859886 USD (BTC=75.340625910, USD=1.000000000, Exchange_1)
[2018-08-18 08:15:06-07:00] 865.330374141 USD => 36.887824561 DOGE (USD=1.000000000, DOGE=23.434969507, Exchange_3)
[2018-08-24 08:55:23-07:00] 18.808161516 DOGE => 139.056021777 USD (DOGE=7.400788050, USD=1.000000000, Exchange_3)
[2018-09-08 12:58:12-07:00] 13.415981079 DOGE => 6.552746799 BTC (DOGE=23.795579108, BTC=48.669940690, Exchange_3)
[2018-09-10 12:20:40-07:00] 7.598494539 DOGE => 449.547636673 USD (DOGE=59.760327464, USD=1.000000000, Exchange_1)
[2018-10-08 13:24:53-07:00] 14.905069952 BTC => 9.085482529 DOGE (BTC=17.378171577, DOGE=28.224437562, Exchange_1)
[2018-11-09 01:34:13-08:00] 5.392828566 DOGE => 491.794056333 USD (DOGE=92.115235440, USD=1.000000000, Exchange_1)
[2018-11-13 19:47:12-08:00] 876.204357386 USD => 14.543249610 ETH (USD=1.000000000, ETH=60.187934368, Exchange_3)
[2018-11-15 05:18:40-08:00] 6.863132789 ETH => 401.840497880 USD (ETH=59.142013610, USD=1.000000000, Exchange_3)
[2018-11-15 09:33:37-08:00] 6.858941448 ETH => 97.386255338 USD (ETH=14.269786999, USD=1.000000000, Exchange_3)
[2018-11-18 21:30:56-08:00] 5.331212658 DOGE => 1.544063600 BTC (DOGE=12.886553531, BTC=44.271137877, Exchange_3)
[2018-11-28 10:27:12-08:00] 384.799303891 USD => 12.336384112 DOGE (USD=1.000000000, DOGE=31.161035607, Exchange_2)
[2018-12-01 12:39:30-08:00] 208.166885359 USD => 186.114298193 ETH (USD=1.000000000, ETH=1.112897037, Exchange_1)
[2018-12-09 15:14:44-08:00] 24.580387381 ETH => 19.151317029 DOGE (ETH=59.809255263, DOGE=76.687390557, Exchange_3)
[2019-01-06 05:50:04-08:00] 30.415920410 ETH => 63.658661082 DOGE (ETH=19.858533627, DOGE=9.393465277, Exchange_1)
[2019-01-22 03:49:17-08:00] 206.315371278 USD => 3.349994422 BTC (USD=1.000000000, BTC=60.970912733, Exchange_3)
[2019-01-26 13:28:38-08:00] 91.441055192 ETH => 42.028170851 DOGE (ETH=37.938876758, DOGE=81.718503205, Exchange_1)
[2019-01-29 02:29:43-08:00] 17.844874903 ETH => 7.638693431 DOGE (ETH=21.458236769, DOGE=49.627643616, Exchange_2)
[2019-02-06 05:18:27-08:00] 117.177608489 DOGE => 224.339689944 ETH (DOGE=13.238150535, ETH=6.907665808, Exchange_2)
[2019-02-20 17:55:07-08:00] 80.743425410 USD => 1.554925517 DOGE (USD=1.000000000, DOGE=51.667882105, Exchange_3)
[2019-02-27 13:28:50-08:00] 10.659725171 BTC => 5.905617698 ETH (BTC=43.562172760, ETH=78.551720144, Exchange_1)
[2019-03-07 09:00:27-08:00] 0.689529298 BTC => 2.288767151 DOGE (BTC=61.285628622, DOGE=18.278685145, Exchange_1)
[2019-03-15 09:40:32-07:00] 70.020702882 ETH => 458.127498794 BTC (ETH=56.131427606, BTC=8.570608975, Exchange_3)
[2019-03-31 16:14:31-07:00] 405.374681890 BTC => 315.713192993 DOGE (BTC=78.453256415, DOGE=99.726381167, Exchange_2)
[2019-04-23 20:43:13-07:00] 301.900762217 DOGE => 288.197258713 BTC (DOGE=83.175368216, BTC=87.043146999, Exchange_1)
[2019-05-14 20:00:19-07:00] 4.508586471 USD => 0.067331890 BTC (USD=1.000000000, BTC=66.291033678, Exchange_1)
[2019-05-19 22:25:20-07:00] 30.173717974 ETH => 2150.647896337 USD (ETH=71.995490059, USD=1.000000000, Exchange_2)
[2019-06-02 07:49:43-07:00] 194.085554551 BTC => 72.304973930 ETH (BTC=30.913414402, ETH=82.896749758, Exchange_1)
[2019-06-10 22:45:33-07:00] 44.380499185 BTC => 25.141610026 ETH (BTC=36.472445953, ETH=64.317547318, Exchange_2)
[2019-06-28 18:56:30-07:00] 128.446498001 ETH => 12308.220560436 USD (ETH=95.919634192, USD=1.000000000, Exchange_2)
[2019-06-29 11:59:50-07:00] 13.440616313 BTC => 17.659244889 ETH (BTC=76.666518892, ETH=58.059845967, Exchange_2)
[2019-07-02 07:43:53-07:00] 3641.627999105 USD => 70.557724479 DOGE (USD=1.000000000, DOGE=51.095918211, Exchange_3)
[2019-07-19 16:04:16-07:00] 22.566283756 DOGE => 1160.195438861 USD (DOGE=51.671138204, USD=1.000000000, Exchange_2)
[2019-07-20 14:41:00-07:00] 40.503338662 BTC => 36.061107952 DOGE (BTC=48.928327237, DOGE=54.680843634, Exchange_2)
[2019-07-28 02:43:01-07:00] 11230.127132859 USD => 299.114079626 DOGE (USD=1.000000000, DOGE=37.169182659, Exchange_1)
[2019-08-02 18:40:19-07:00] 590.415822805 USD => 9.153292024 ETH (USD=1.000000000, ETH=64.180596679, Exchange_3)
[2019-08-17 07:48:36-07:00] 15.342503855 ETH => 4.670543337 DOGE (ETH=20.257973316, DOGE=65.880975970, Exchange_3)
[2019-09-06 09:42:41-07:00] 146.247098430 DOGE => 11048.386698146 USD (DOGE=75.925651507, USD=1.000000000, Exchange_1)
[2019-09-16 00:12:16-07:00] 193.986820965 DOGE => 44.089915905 BTC (DOGE=19.445757005, BTC=84.701871168, Exchange_3)
[2019-09-28 10:15:46-07:00] 110.236492156 ETH => 8496.043536394 USD (ETH=77.849557711, USD=1.000000000, Exchange_2)
[2019-10-30 05:23:40-07:00] 19.787589555 ETH => 908.337244435 USD (ETH=45.950341166, USD=1.000000000, Exchange_3)
[2019-11-15 09:37:27-08:00] 0.491652599 ETH => 0.062648562 DOGE (ETH=9.611711505, DOGE=75.053514988, Exchange_3)
[2019-11-16 06:06:34-08:00] 10048.449165536 USD => 1980.325360481 ETH (USD=1.000000000, ETH=5.023399120, Exchange_3)
[2019-12-20 13:51:02-08:00] 8569.803838798 USD => 278.728213390 BTC (USD=1.000000000, BTC=30.592363492, Exchange_2)
[2019-12-24 21:51:13-08:00] 1051.766543645 USD => 72.050486073 BTC (USD=1.000000000, BTC=14.451656539, Exchange_2)
[2020-01-19 19:04:50-08:00] 238.650066072 USD => 15.505001351 BTC (USD=1.000000000, BTC=15.376420202, Exchange_1)
[2020-02-09 06:08:27-08:00] 1219.560454624 ETH => 256.251442565 BTC (ETH=10.511512125, BTC=49.976714093, Exchange_3)
[2020-04-11 01:09:02-07:00] 24.378390481 DOGE => 19.188506025 ETH (DOGE=61.443568349, ETH=77.281490640, Exchange_2)
[2020-04-25 16:21:10-07:00] 42.020128574 DOGE => 2282.536190111 USD (DOGE=54.593031937, USD=1.000000000, Exchange_3)
[2020-04-30 20:09:09-07:00] 152.066189719 BTC => 41.804049678 DOGE (BTC=22.313446606, DOGE=80.761438829, Exchange_1)
[2020-05-03 09:22:20-07:00] 123.173346070 BTC => 154.213640201 ETH (BTC=43.006714904, ETH=34.178523809, Exchange_2)
[2020-05-05 00:43:53-07:00] 335.458774034 ETH => 785.474353597 BTC (ETH=92.614871761, BTC=39.514215486, Exchange_2)
[2020-05-31 02:41:41-07:00] 413.631595051 BTC => 280.422202481 DOGE (BTC=24.574459710, DOGE=35.885622282, Exchange_2)
[2020-06-07 20:32:12-07:00] 119.843624714 DOGE => 94.170873436 BTC (DOGE=77.417908464, BTC=98.424962912, Exchange_3)
[2020-07-11 17:24:07-07:00] 163.657851781 DOGE => 320.073066990 BTC (DOGE=52.495502210, BTC=26.814845433, Exchange_3)
[2020-07-22 01:18:45-07:00] 581.512767604 ETH => 545.504775289 BTC (ETH=72.005776979, BTC=76.682016860, Exchange_2)
[2020-07-28 14:55:07-07:00] 1293.618852698 BTC => 11893.918073145 ETH (BTC=65.565522990, ETH=7.059795447, Exchange_3)
[2020-08-03 11:25:47-07:00] 75.954783034 BTC => 149.699421221 ETH (BTC=48.464778827, ETH=24.344252057, Exchange_1)
[2020-08-23 19:13:44-07:00] 1925.705077018 USD => 467.908016986 ETH (USD=1.000000000, ETH=4.094985514, Exchange_1)
[2020-09-02 21:48:33-07:00] 869.355727695 USD => 21.067099379 DOGE (USD=1.000000000, DOGE=41.059708007, Exchange_2)
[2020-09-10 00:04:54-07:00] 23.896634444 DOGE => 3.875622635 ETH (DOGE=11.701953823, ETH=72.080721426, Exchange_1)
[2020-09-25 10:27:00-07:00] 15.608096838 DOGE => 878.985681837 USD (DOGE=56.599001435, USD=1.000000000, Exchange_3)
[2020-11-09 18:10:18-08:00] 135.088900904 USD => 1.479335197 DOGE (USD=1.000000000, DOGE=90.860716785, Exchange_3)
[2020-11-11 14:26:05-08:00] 204.771188477 USD => 6.419667092 ETH (USD=1.000000000, ETH=31.578503012, Exchange_3)
[2020-11-15 22:33:57-08:00] 18.004061370 DOGE => 902.702301887 USD (DOGE=50.390768822, USD=1.000000000, Exchange_1)
